,Instrument ID,Analysis Date,Analysis Time,Seq.,sample,Sample ID Info,Species,Category,Analysis Mode,ManAna.Info,ReAnalysis Date,ReAnalysis Time,IPU Version,time,host,Comment3,Transmitted Parameters,Sample Judgment Info.,Error(Func),Error(Result),IP Abn(WBC)WBC Abn Scattergram,IP Abn(RBC)RBC Abn Distribution,IP Abn(RBC)RET Abn Scattergram,IP Abn(PLT)PLT Abn Scattergram,IP Abn(PLT)PLT Abn Distribution,IP SUS(WBC)Left Shift?,IP SUS(WBC)NRBC?,IP SUS(PLT)PLT Clumps?,IP SUS(PLT)PLT Clumps(S)?,RBC Switch,PLT Switch,RBC(M/uL),RBC/M,HGB(g/dL),HGB/M,HCT(%),HCT/M,MCV(fL),MCV/M,MCH(pg),MCH/M,MCHC(g/dL),MCHC/M,RDW-SD(fL),RDW-SD/M,RDW-CV(%),RDW-CV/M,RBC-I(M/uL),RBC-I/M,MCV-I(fL),MCV-I/M,RET#(K/uL),RET#/M,RET%(%),RET%/M,IRF(%),IRF/M,LFR(%),LFR/M,MFR(%),MFR/M,HFR(%),HFR/M,RBC-O(M/uL),RBC-O/M,PLT-O(K/uL),PLT-O/M,MCV-O(fL),MCV-O/M,MPV-O(fL),MPV-O/M,RBC-X(ch),RBC-X/M,RBC-Y(ch),RBC-Y/M,RBC-Z(ch),RBC-Z/M,PLT(K/uL),PLT/M,PDW(fL),PDW/M,MPV(fL),MPV/M,P-LCR(%),P-LCR/M,PCT(%),PCT/M,PLT-I(K/uL),PLT-I/M,MPV-I(fL),MPV-I/M,WBC(K/uL),WBC/M,NEUT#(K/uL),NEUT#/M,LYMPH#(K/uL),LYMPH#/M,MONO#(K/uL),MONO#/M,EO#(K/uL),EO#/M,BASO#(K/uL),BASO#/M,NEUT%(%),NEUT%/M,LYMPH%(%),LYMPH%/M,MONO%(%),MONO%/M,EO%(%),EO%/M,BASO%(%),BASO%/M,DIFF-X(ch),DIFF-X/M,DIFF-Y(ch),DIFF-Y/M,FSC-X(ch),FSC-X/M,RET-He(pg),RET-He/M,RBC-He(pg),RBC-He/M,RET-Y(ch),RET-Y/M,TNCC(K/uL),TNCC/M,Gran#(K/uL),Gran#/M,Agran#(K/uL),Agran#/M,Gran%(%),Gran%/M,Agran%(%),Agran%/M,RBC-BF(M/uL),RBC-BF/M,RBC Total,RBC Rate,PLT Total,PLT Rate,R-MFV,PDW-CV,S-RBC,S-MCV,S-RDW,P-MFV,PCT,L-RBC,L-MCV,L-RDW,PLT-I,RBC-LD,RBC-MD,RBC-UD,PLT-LD,PLT-UD,HGB Sample,HGB Blank,RBC Clog,RBC Distribution,PLT Distribution,DIFF Total,DIFF Rate,DIFF-X,DIFF-Y,DIFF-WX,DIFF-WY,NEUT-X,NEUT-Y,LYMPH-X,LYMPH-Y,MONO-X,MONO-Y,NEUT-WX,NEUT-WY,LYMPH-WX,LYMPH-WY,MONO-WX,MONO-WY,WBC#(Diff-ch),WBC#(FSC),Delta-WBC(Diff/WBC),WBC-LD,FSC-X,FSCW-Info.1,FSCW-Info.2,DIFF LD Driver,RET Total,RET Rate,RBC-X,RBC-Y,RBC-Z,RET-X,RET-Y,RBC-WX,RBC-WY,RBC-O,Delta-RBC(RBC-O/RBC-I),PLT-O,Delta-PLT(PLT-O/PLT-I),PLT Blank,THR,THR-H,UPP,W-Area,RBC Flag,WBC Flg,RET LD Driver,SFL,Counter,Monthly Rinse,Piercer,Air Pump,Sheath Motor,Tmp_REACT_CMB,Tmp_REAG(DIFF),Tmp_REAG(RET),Tmp_FCM_SHTH,Tmp_ENV,PRS07-1,PRS07-2,PRS07-3,VAC240-1,VAC240-2,VAC240-3,Laser Time,Aspiration Sensor blank,Aspiration Sensor sample1,Aspiration Sensor sample2,LyMoBoundaryCount,NeEoBoundaryCount,LyGsBoundaryCount,LyNeBoundaryCount,NeMoBoundaryCount,GsNeBoundaryCount,MoEoBoundaryCount,GsEoBoundaryCount,GsBaBoundaryCount,NeBaBoundaryCount,LyBaBoundaryCount,EoBaBoundaryCount,DIFF(SSC),DIFF(SSC) Level,DIFF(SFL),DIFF(SFL) Level,DIFF(FSC),DIFF(FSC) Level,RET(SFL),RET(SFL) Level,RET(FSC),RET(FSC) Level,RET(SSC),RET(SSC) Level,RBC gain,PLT gain,HGB blank,HGB span,ASP. Sensor blank,Service_RBC_CAL,Service_RBC_GAIN,Service_PLT_CAL,Service_HGB_CAL,Service_RET_CAL,Service_RBCO_CAL,Service_PLTO_CAL,Service_WBC-D_CAL,User_RBC_CAL,User_HCT_CAL,User_PLT_CAL,User_HGB_CAL,User_PLTO_CAL,User_WBC_CAL,Species_RBC_CAL,Species_RBC_GAIN,Species_PLT_CAL,Species_HGB_CAL,Species_RET_CAL,Species_RBCO_CAL,Species_PLTO_CAL,Species_WBC-D_CAL,Pressure Lower Error,0.06MPa Error,-0.03MPa Error,RH Temp High(DIFF),RH Temp Low(DIFF),RH Temp High(RET),RH Temp Low(RET),FCM RU Temp High,FCM RU Temp Low,Env Temp High,Env Temp Low,RH Therm Sens ERR(DIFF),RH Therm Sens ERR(RET),FCM RU Therm Sens ERR,FCM Sheath Sens ERR,Env Therm Sens ERR,Replace Container CELLPACK(EPK),Replace Container SULFOLYSER(SLS),Replace Container STROMATOLYSER-4DL(FFD),Replace Container RET SEARCH(II) Diluent (RED),Replace Container STROMATOLYSER-4DS(FFS),Replace Container RET SEARCH(II) Stain (RES),Chamber CELLPACK(EPK) Error,STROMATOLYSER-4DS(FFS) Aspiration Error,Replace Reagent Package,Waste Chamber 1 Error,Waste Chamber 2 Error,RBC/HGB Chamber Error,WBC Chamber Error,RET Chamber Error,WB Asp Motor Error,Sheath Motor Error,Aspiration Unit Up Down Motor Error,Aspiration Unit Front Back Motor Error,Rinse Cup Pinch Valve Error,Waste Chamber 1 Pinch Valve Error,Waste Chamber 2 Pinch Valve Error,Tube Holder Motor Error,Sample Not Asp Error,Short Sample,Blood Asp Sensor Error,< Background Error >,RBC Sampling Error,PLT Sampling Error,Diff Sampling Error,RET Sampling Error,RBC Clog Error,RBC Bubble Error,HGB ERROR,DIFF-CH Error,RBC-CH Error,PLT-CH Error,RET-CH Error,RET Error,Right side cover is open.,Right side cover has opened.,Tube Holder has opened.,Laser Diode Aged,Laser Power Error,Close FCM Detect Cover,System Configuration Error,< L-J Limit Error >,< Control Expired >,Replace Piercer,Execute Monthly Rinse,Execute Monthly Rinse(Warning),Exchange the Air pump,Expired Reagent [CELLPACK(EPK)],Expired Reagent [SULFOLYSER(SLS)],Expired Reagent [STROMATOLYSER-4DL(FFD)],Expired Reagent [RET SEARCH(II) Diluent (RED)],Expired Reagent [STROMATOLYSER-4DS(FFS)],Expired Reagent [RET SEARCH(II) Stain (RES)]],Press Start Switch,pop
1,ProCyte Dx^C0071^00-34 Build57,9/21/2021,11:04:09,17,1C,M,(09)Mouse,Level0,WB,NA,NA,NA,00-34 Build57,Baseline,C57BL/6,NA,H,Abnormal,NA,NA,1,0,0,0,0,0,0,0,0,0,0,9.33,NA,13.6,NA,48.8,NA,52.3,NA,14.6,NA,27.9,NA,27.9,NA,19.8,NA,9.33,NA,52.3,NA,513.2,NA,5.5,NA,56.3,NA,43.7,NA,18.5,NA,37.8,NA,11,NA,874,NA,49.9,NA,7.9,NA,19.2,NA,102.1,NA,112.4,NA,874,NA,6.2,NA,7.9,NA,1.7,NA,0.69,NA,670,NA,5.9,NA,13.82,NA,1.83,*,11.72,*,0.03,NA,0.23,NA,0.01,NA,13.2,*,84.8,*,0.2,NA,1.7,NA,0.1,NA,86.7,NA,56.6,NA,12,NA,17.2,NA,15.9,NA,110.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9421,15,9640,12,522,10000,0,0,0,55,69,0,0,0,670,0,NA,49,0,13,6413,5057,102,NA,NA,6320,2,867,566,499,937,867,566,800,707,1014,1330,485,424,437,721,118,45,13818,12555,1101,0,120,1,2,5429,119641,1,192,1021,1124,744,1101,625,353,1100,1179,874,1304,0,54,34,0,85,51,0,5856,116,2177,41,1898,2177,8895,408,403,401,250,268,582,0,0,322,0,0,79762,5002,7813,10905,2,0,0,439,0,0,0,0,0,0,0,0,137,0,124,0,165,0,116,1,148,0,102,1,131,145,130,195,120,1015,1000,1121,1000,1479,1069,951,1149,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Control
51,ProCyte Dx^C0071^00-34 Build57,10/6/2021,10:08:24,10,1C,M,(09)Mouse,Level3,WB,NA,NA,NA,00-34 Build57,Week 2,C57BL/6,NA,GH,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11.15,NA,16,NA,57.5,NA,51.6,NA,14.3,NA,27.8,NA,25.8,NA,21.1,NA,11.15,NA,51.6,NA,495.1,NA,4.44,NA,56.3,NA,43.7,NA,16.5,NA,39.8,NA,11.06,NA,1075,NA,48.7,NA,7.8,NA,18.9,NA,100.5,NA,113.6,NA,1075,NA,6.4,NA,7.8,NA,1.6,NA,0.84,NA,875,NA,5.7,NA,10.02,NA,1.14,NA,8.52,NA,0.03,NA,0.32,NA,0.01,NA,11.4,NA,85,NA,0.3,NA,3.2,NA,0.1,NA,92.9,NA,51.5,NA,12.1,NA,17,NA,15.6,NA,108.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9630,17,9795,13,502,10000,0,0,0,54,84,0,0,0,875,0,NA,49,0,16,6618,5022,101,NA,NA,8983,1,929,515,570,1000,929,515,785,657,984,1371,452,466,497,807,81,66,10022,8902,1126,0,121,0,2,5368,121900,1,189,1005,1136,741,1088,581,338,1106,992,1075,1229,0,55,27,0,96,71,4,5795,116,2297,146,2003,2297,9388,405,405,408,250,261,592,0,0,327,0,0,84294,4992,10268,11658,2,5,0,174,0,0,0,0,0,0,0,0,137,0,124,0,165,0,116,1,148,0,102,1,131,145,130,195,120,1015,1000,1121,1000,1479,1069,951,1149,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Control
101,ProCyte Dx^C0071^00-34 Build57,10/20/2021,10:17:41,5,1C,M,(09)Mouse,Level3,WB,NA,NA,NA,00-34 Build57,Week 4,C57BL/6,NA,GH,Abnormal,NA,NA,1,0,0,0,0,0,0,0,0,0,0,11.56,NA,16.4,NA,60.7,@,52.5,NA,14.2,NA,27,NA,27.6,NA,22,NA,11.56,NA,52.5,NA,580.3,NA,5.02,NA,58.2,NA,41.8,NA,18,NA,40.2,NA,11.5,NA,899,NA,48.1,NA,8.2,NA,19.1,NA,99.6,NA,114.8,NA,899,NA,7.2,NA,8.2,NA,4.6,NA,0.74,NA,768,NA,6.4,NA,15.59,NA,2.38,*,12.58,*,0.14,NA,0.49,NA,0,NA,15.3,*,80.7,*,0.9,NA,3.1,NA,0,NA,91.3,NA,54.9,NA,12.1,NA,17.1,NA,15.5,NA,109.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9913,17,9797,13,513,10000,0,0,0,58,74,0,0,0,768,0,NA,49,0,19,6503,4863,101,NA,NA,7046,2,913,549,490,991,913,549,813,706,1005,1366,449,455,418,793,179,337,15587,13903,1121,0,121,0,0,5246,123417,1,191,996,1148,761,1094,577,352,1150,995,899,1171,0,55,33,0,158,45,4,5612,116,2536,175,2228,2536,10366,405,410,412,236,247,572,0,0,322,0,0,93365,4773,9434,11128,16,0,0,397,0,0,0,0,0,0,0,0,137,0,124,0,165,0,116,1,148,0,102,1,131,145,130,195,120,1015,1000,1121,1000,1479,1069,951,1149,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Control
151,ProCyte Dx^C0071^00-34 Build57,11/3/2021,10:02:35,11,1C,M,(09)Mouse,Level3,WB,NA,NA,NA,00-34 Build57,Week 6,C57BL/6,NA,GH,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11.52,NA,16.2,NA,58.6,NA,50.9,NA,14.1,NA,27.6,NA,28.3,NA,22.8,NA,11.52,NA,50.9,NA,623.2,NA,5.41,NA,60.2,NA,39.8,NA,16.9,NA,43.3,NA,11.34,NA,956,NA,47.8,NA,8.2,NA,19,NA,99,NA,114.6,NA,956,NA,7.1,NA,8.2,NA,2.9,NA,0.78,NA,933,NA,6.3,NA,11.73,NA,0.66,NA,10.69,NA,0.09,NA,0.28,NA,0.01,NA,5.6,NA,91.1,NA,0.8,NA,2.4,NA,0.1,NA,93.7,NA,53.2,NA,12.2,NA,17,NA,15.4,NA,109.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9865,17,9981,13,493,10000,0,0,0,58,78,0,0,0,933,0,NA,49,0,16,6650,5030,102,NA,NA,5253,2,937,532,503,1029,937,532,793,721,990,1417,331,432,466,887,172,162,11727,10396,1128,0,122,1,1,5307,122839,1,190,990,1146,754,1092,579,353,1134,984,956,1025,0,54,25,0,111,41,4,5734,116,2634,263,2316,2634,10767,405,408,405,243,256,572,0,0,327,0,0,97114,4975,10064,11612,9,7,0,30,0,0,0,0,0,0,1,0,137,0,124,0,165,0,116,1,148,0,102,1,131,145,130,195,120,1015,1000,1121,1000,1479,1069,951,1149,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Control
206,ProCyte Dx^C0071^00-34 Build57,11/17/2021,9:56:11,4,1C,M,(09)Mouse,Level3,WB,NA,NA,NA,00-34 Build57,Week 8,C57BL/6,NA,GH,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11.65,NA,16.3,NA,58.4,NA,50.1,NA,14,NA,27.9,NA,28.6,NA,23.3,NA,11.65,NA,50.1,NA,655.9,@,5.63,NA,60.5,NA,39.5,NA,15.8,NA,44.7,NA,10.95,NA,982,NA,47,NA,8.1,NA,19.6,NA,97.9,NA,113.4,NA,982,NA,6.5,NA,8.1,NA,2.6,NA,0.8,NA,896,NA,5.9,NA,14.19,NA,1.2,NA,12.48,NA,0.06,NA,0.45,NA,0,NA,8.5,NA,87.9,NA,0.4,NA,3.2,NA,0,NA,94.5,NA,51.5,NA,12.3,NA,16.8,NA,15.3,NA,107.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9929,17,9318,14,482,10000,0,0,0,56,80,0,0,0,896,0,NA,49,0,17,6732,5105,102,NA,NA,6334,2,945,515,531,1038,945,515,789,660,1002,1339,423,544,469,833,160,194,14194,12574,1129,0,123,0,0,5551,120385,1,196,979,1134,759,1079,613,347,1095,940,982,1096,0,56,26,0,177,40,4,6039,116,2756,31,2432,2756,11261,405,403,405,250,266,572,0,0,322,0,0,101745,5062,10291,11730,9,0,0,124,0,0,0,0,0,0,0,0,137,0,124,0,165,0,116,1,148,0,102,1,131,145,130,195,120,1015,1000,1121,1000,1479,1069,951,1149,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Control
254,ProCyte Dx^C0071^00-34 Build57,12/1/2021,10:19:22,6,1C,M,(09)Mouse,Level3,WB,NA,NA,NA,00-34 Build57,Week 10,C57BL/6,NA,GH,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11.76,NA,16.4,NA,60.4,@,51.4,NA,13.9,NA,27.2,NA,29.9,NA,23.5,NA,11.76,NA,51.4,NA,549.2,NA,4.67,NA,55.1,NA,44.9,NA,17.9,NA,37.2,NA,11.43,NA,1020,NA,47.5,NA,8.2,NA,20.1,NA,98.8,NA,113.5,NA,1020,NA,7.2,NA,8.2,NA,3.2,NA,0.84,NA,983,NA,6.3,NA,11.72,NA,0.87,NA,10.48,NA,0.04,NA,0.33,NA,0,NA,7.5,NA,89.4,NA,0.3,NA,2.8,NA,0,NA,93.1,NA,53.6,NA,12.1,NA,16.4,NA,15.4,NA,105.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9466,18,9309,14,499,10000,0,0,0,59,84,0,0,0,983,0,NA,49,0,16,6581,4937,102,NA,NA,5274,2,931,536,536,936,931,536,780,678,993,1365,408,429,474,767,161,176,11719,10400,1127,0,121,3,4,5185,123898,1,201,988,1135,752,1052,597,344,1143,972,1020,1038,0,56,24,0,100,42,4,5612,116,2869,134,2535,2869,11720,408,410,410,234,245,572,0,0,322,0,0,105967,4876,9703,11405,5,0,0,77,0,0,0,0,0,0,1,0,137,0,124,0,165,0,116,1,148,0,102,1,131,145,130,195,120,1015,1000,1121,1000,1479,1069,951,1149,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Control
2,ProCyte Dx^C0071^00-34 Build57,9/21/2021,10:42:13,6,1D,M,(09)Mouse,Level0,WB,NA,NA,NA,00-34 Build57,Baseline,C57BL/6,NA,H,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11.53,NA,16.6,NA,62.3,@,54,NA,14.4,NA,26.6,NA,30.3,NA,22.3,NA,11.53,NA,54,NA,789.8,@,6.85,NA,69.7,NA,30.3,NA,17.3,NA,52.4,NA,10.87,NA,701,NA,49.5,NA,8.1,NA,20.3,NA,101.5,NA,112.8,NA,701,NA,7.3,NA,8.1,NA,3.5,NA,0.57,NA,697,NA,6.5,NA,9.06,NA,0.62,NA,8.23,NA,0.05,NA,0.16,NA,0,NA,6.8,NA,90.8,NA,0.6,NA,1.8,NA,0,NA,92.5,NA,52.8,NA,12,NA,17.4,NA,15.8,NA,111.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9847,17,9611,13,543,10000,0,0,0,61,57,0,0,0,697,0,NA,49,0,14,6637,4981,101,NA,NA,8535,1,925,528,516,972,925,528,794,682,990,1345,519,512,441,821,172,186,9061,8458,1071,0,120,7,3,5368,117057,1,203,1015,1128,803,1112,591,374,1087,943,701,1006,0,56,27,0,147,54,0,5795,116,2167,31,1888,2167,8855,408,405,405,248,261,582,0,0,322,0,0,79379,4923,9969,11460,5,0,0,81,0,0,0,0,0,0,0,0,137,0,124,0,165,0,116,1,148,0,102,1,131,145,130,195,120,1015,1000,1121,1000,1479,1069,951,1149,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LE
52,ProCyte Dx^C0071^00-34 Build57,10/6/2021,10:10:54,11,1D,M,(09)Mouse,Level3,WB,NA,NA,NA,00-34 Build57,Week 2,C57BL/6,NA,GH,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,10.87,NA,15.4,NA,56.7,NA,52.2,NA,14.2,NA,27.2,NA,27.5,NA,21.1,NA,10.87,NA,52.2,NA,687,@,6.32,NA,60.1,NA,39.9,NA,17.8,NA,42.3,NA,11.1,NA,138,NA,48.6,NA,7.9,NA,18.8,NA,100.2,NA,112.9,NA,138,NA,7.1,NA,7.9,NA,6.4,NA,0.11,NA,117,NA,6.9,NA,7.11,NA,0.6,NA,6.3,NA,0.05,NA,0.15,NA,0.01,NA,8.5,NA,88.6,NA,0.7,NA,2.1,NA,0.1,NA,91.7,NA,54,NA,12.2,NA,16.9,NA,15.6,NA,108.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9447,17,9252,13,511,10000,0,0,0,61,11,0,0,0,117,0,NA,49,0,16,6577,5032,102,NA,NA,6668,1,917,540,485,992,917,540,821,738,994,1405,415,444,414,813,181,142,7107,6612,1075,0,122,24,14,5368,113178,1,188,1002,1129,765,1085,638,349,1110,1021,138,1179,0,55,33,0,116,45,3,5795,116,2298,147,2004,2298,9392,408,408,408,250,263,572,0,0,322,0,0,84332,4997,8655,9907,7,1,0,64,0,0,0,0,0,0,1,0,137,0,124,0,165,0,116,1,148,0,102,1,131,145,130,195,120,1015,1000,1121,1000,1479,1069,951,1149,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LE
102,ProCyte Dx^C0071^00-34 Build57,10/20/2021,10:19:47,6,1D,M,(09)Mouse,Level3,WB,NA,NA,NA,00-34 Build57,Week 4,C57BL/6,NA,GH,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11.25,NA,16,NA,57.7,NA,51.3,NA,14.2,NA,27.7,NA,28.2,NA,22.5,NA,11.25,NA,51.3,NA,636.8,NA,5.66,NA,53.1,NA,46.9,NA,16.7,NA,36.4,NA,11.35,NA,796,NA,48.2,NA,8.5,NA,19.9,NA,99.8,NA,113.9,NA,796,NA,6.9,NA,8.5,NA,2.4,NA,0.68,NA,756,NA,6.3,NA,12.56,NA,1.41,NA,9.86,NA,0.43,NA,0.86,NA,0,NA,11.3,NA,78.5,NA,3.4,NA,6.8,NA,0,NA,92.2,NA,57.7,NA,12.7,NA,16.4,NA,15.5,NA,105.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9703,17,9762,13,499,10000,0,0,0,59,68,0,0,0,756,0,NA,49,0,15,6482,4877,102,NA,NA,5653,2,922,577,498,1284,922,577,841,776,1015,1399,456,451,416,876,187,493,12555,11166,1124,0,127,3,4,5246,121384,1,199,998,1139,747,1055,654,341,1135,1009,796,1053,0,56,30,0,130,56,7,5673,116,2537,176,2229,2537,10370,408,412,410,236,250,572,0,0,327,0,0,93403,4801,10102,11182,45,1,0,190,0,0,0,0,0,0,0,0,137,0,124,0,165,0,116,1,148,0,102,1,131,145,130,195,120,1015,1000,1121,1000,1479,1069,951,1149,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LE
152,ProCyte Dx^C0071^00-34 Build57,11/3/2021,10:04:46,12,1D,M,(09)Mouse,Level3,WB,NA,NA,NA,00-34 Build57,Week 6,C57BL/6,NA,GH,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11.35,NA,15.6,NA,57.3,NA,50.5,NA,13.7,NA,27.2,NA,28.3,NA,22.8,NA,11.35,NA,50.5,NA,1289.4,@,11.36,NA,68.7,NA,31.3,NA,17.8,NA,50.9,NA,10.87,NA,660,NA,46.9,NA,9.2,NA,18.8,NA,97.6,NA,112.5,NA,660,NA,7.3,NA,9.2,NA,5.8,NA,0.61,NA,676,NA,6.8,NA,13.64,NA,2.08,NA,10.43,NA,0.88,NA,0.25,NA,0,NA,15.2,NA,76.5,NA,6.5,NA,1.8,NA,0,NA,90.9,NA,57.8,NA,12.5,NA,16,NA,15.2,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9750,17,9813,13,486,10000,0,0,0,61,61,0,0,0,676,0,NA,49,0,17,6592,5037,102,NA,NA,6132,2,909,578,530,1232,909,578,846,841,1022,1491,506,554,414,903,254,523,13640,12147,1123,0,125,2,2,5368,116781,1,188,976,1125,784,1030,692,348,1087,958,660,976,0,55,38,0,194,39,4,5795,116,2635,264,2317,2635,10771,408,405,408,243,259,563,0,0,322,0,0,97152,4998,9632,11116,62,0,0,166,0,0,0,0,0,0,0,0,137,0,124,0,165,0,116,1,148,0,102,1,131,145,130,195,120,1015,1000,1121,1000,1479,1069,951,1149,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LE
