sample,host,pop,Week.10_EO,Week.10_NEUT,Week.10_MONO,Week.10_LYMPH,Week.10_BASO,IFNy,IL5,TNFa,IL2,IL6,IL4,IL10,IL13,body_wt,female_worms,male_worms,total_worms,liver_wt,liver_wt_norm,spleen_wt,spleen_wt_norm,intestine_wt,liver_eggs,intestine_eggs,intestine_length,total_eggs,fecundity,fibrosis,granuloma
10C,BALB/c,Control,0.13,1.01,0.06,5.51,0.02,5.31,15.77,11.97,12.73,10.96,3.55,22.8835,3.65,24.58,0,0,0,1.14,4.637917006,0.11,0.447518308,1.03,0,0,492.1,0,0,14.6156295,NA
10D,BALB/c,LE,1.47,1.77,0.9,3.84,0.02,8217.7,173.16,13.315,22.515,3239.16,380.125,8.274,4.5,22.62,4,5,9,1.91,8.443854996,0.72,3.183023873,1.79,15031.15265,8538.175047,494.2,23569.32769,4713.865538,47.104832,100169.7885
10E,BALB/c,EG,NA,NA,NA,NA,NA,3379.19,289.67,81.92,38.32,4934.43,1317.88,287.529,8.99,19.5,4,2,6,2.02,10.35897436,0.64,3.282051282,1.09,24876.23762,8048.929664,NA,32925.16729,6585.033458,NA,NA
10F,BALB/c,OR,1.14,2.02,1.1,5.57,0.01,NA,NA,NA,NA,NA,NA,NA,NA,21.46,4,0,4,2.13,9.925442684,0.58,2.702702703,1.18,11223.11828,11983.05085,499.4,23206.16913,4641.233826,23.8959475,88981.43963
10G,BALB/c,BRE,0.87,3.04,0.97,9.44,0.01,43682.99,179.705,40.47,53.31,125869.845,8808.63,135.812,6.4,22.4,3,1,4,1.53,6.830357143,0.32,1.428571429,1.54,5208.333333,6969.69697,487.7,12178.0303,3044.507575,29.7804655,76265.75926
1C,C57BL/6,Control,0.33,0.87,0.04,10.48,0,5.82,18.43,22.03,18.15,19.05,4.1,22.446,3.65,22.06,0,0,0,1.04,4.714415231,0.09,0.407978241,1.03,0,0,360.3,0,0,11.0061055,NA
1D,C57BL/6,LE,2.13,5.64,1.28,20.28,0,88.005,428.88,300.475,13.94,1274.405,211.57,7.603,3.65,23.44,8,12,20,3.05,13.01194539,0.88,3.754266212,1.58,NA,9434.599156,430,NA,NA,54.7578695,47143.6335
1E,C57BL/6,EG,0.32,1.86,0.47,7.89,0.03,18.545,186.895,109.92,16.895,265.26,113.435,42.8905,20.95,15.46,5,4,9,1.91,12.35446313,0.42,2.716688228,1.53,NA,21128.54031,328,NA,NA,31.522701,55243.44167
1F,C57BL/6,OR,0.47,3.03,0.76,12.72,0,165.225,291.265,483.535,32.33,1521.12,1176.35,11.582,17.635,23.82,7,5,12,2.24,9.403862301,0.45,1.889168766,1.44,NA,2171.296296,489.1,NA,NA,45.5706745,73119.52926
1G,C57BL/6,BRE,0.48,1.58,0.63,14.48,0.01,1788.225,1609.585,19716.75,55.41,15010.53,5296.28,25.6325,6.875,24.12,9,3,12,1.56,6.467661692,0.25,1.036484245,1.94,NA,5662.371134,417.8,NA,NA,38.749712,68966.04321
