animal_ID,host,pop,Weight.BL,Weight.wk1 ,Weight.wk2,Weight.wk3,Weight.wk4,Weight.wk5,Weight.wk6,Weight.wk7,Weight.wk8,Weight.wk9,Weight.wk10,Weight.wk11,Weight.wk12,Final,Weight_change
1C,C57BL/6,Control,17.72,18.7,18.98,19.22,19.04,19.98,20.52,19.74,20.28,21.58,21,21.14,22.06,,104.3519395
1D,C57BL/6,LE,17.62,18.3,19.92,20.12,21.22,21.66,21.62,22.1,22.64,22.84,22.94,23.36,23.44,,100.3424658
1E,C57BL/6,EG,17.24,17.68,18.6,18.62,19.9,19.86,20.5,20.08,19.48,18.36,17.18,16.18,15.46,,95.5500618
1F,C57BL/6,OR,18.32,18.14,19.3,19.78,20.88,20.14,21.38,21.88,22.66,23.54,23.94,23.66,23.82,,100.6762468
1G,C57BL/6,BRE,19.04,20.26,21.38,22.18,22.1,22.34,22.74,22.44,23.42,24.18,23.98,24.52,24.12,,98.36867863
2C,BALB/c,Control,18.06,18.96,19.34,19.02,20.74,21.48,21.74,21.96,22.06,22.06,22.88,22.68,22.72,,100.1763668
2D,BALB/c,LE,18.88,19.06,19.52,19.12,19.46,20.68,20.74,19.82,18.5,,,,,18.5,93.34006054
2E,BALB/c,EG,16.94,16.94,17.34,17.3,17.92,18.88,20.42,19.72,20.2,20.04,21.32,21.24,21.58,,101.6007533
2F,BALB/c,OR,19.06,19.02,19.96,19.92,20.98,20.98,21.4,21.38,22,22.08,22.62,23.48,23.52,,100.1703578
2G,BALB/c,BRE,19.94,20.32,20.68,20.68,20.2,21.54,21.9,22.58,22.98,22.82,23.02,23.66,23.5,,99.32375317
3C,C57BL/6,Control,17.18,18.54,18.86,18.58,19.62,20.68,20.4,21.42,21.4,21.3,21.94,21.5,22.18,,97.99453054
3D,C57BL/6,LE,17.3,17.56,18.18,18.04,19.06,19.82,20.66,20.92,22.14,21.68,22.08,22.26,23.36,,100.8152174
3E,C57BL/6,EG,19.4,20.14,20.16,21.58,23.74,22.76,24.74,23.5,24.3,24.32,25.9,24.48,24.98,,94.51737452
3F,C57BL/6,OR,19.06,20.02,20.6,20.34,21.56,21.74,22.06,23.54,24.16,24.16,24.66,24.92,25.6,,101.054339
3G,C57BL/6,BRE,17.52,17.8,18.34,18.68,19.74,20.24,20.72,21.22,21.34,21.1,22.02,22.5,22.42,,102.1798365
4C,BALB/c,Control,21.06,21.46,21.32,21.68,22.24,22.12,23.42,23.26,23.66,23.14,24.16,24.38,24.84,,100.910596
4D,BALB/c,LE,18.88,19.12,19.4,20.6,21.18,20.74,21.66,20.9,20.7,19.84,20.36,18.62,,18.62,91.45383104
4E,BALB/c,EG,19.46,20.18,20.06,20.78,21.96,22.58,22.84,22.46,23.84,23.48,24.18,19.14,19.6,,79.15632754
