animal_ID,host,pop,time,weight,gain
1C,C57BL/6,Control,0,17.72,0
1D,C57BL/6,LE,0,17.62,0
1E,C57BL/6,EG,0,17.24,0
1F,C57BL/6,OR,0,18.32,0
1G,C57BL/6,BRE,0,19.04,0
2C,BALB/c,Control,0,18.06,0
2D,BALB/c,LE,0,18.88,0
2E,BALB/c,EG,0,16.94,0
2F,BALB/c,OR,0,19.06,0
2G,BALB/c,BRE,0,19.94,0
3C,C57BL/6,Control,0,17.18,0
3D,C57BL/6,LE,0,17.3,0
3E,C57BL/6,EG,0,19.4,0
3F,C57BL/6,OR,0,19.06,0
3G,C57BL/6,BRE,0,17.52,0
4C,BALB/c,Control,0,21.06,0
4D,BALB/c,LE,0,18.88,0
4E,BALB/c,EG,0,19.46,0
4F,BALB/c,OR,0,18.28,0
4G,BALB/c,BRE,0,21.5,0
5C,C57BL/6,Control,0,19.2,0
5D,C57BL/6,LE,0,18.28,0
5E,C57BL/6,EG,0,18.56,0
5F,C57BL/6,OR,0,18.98,0
5G,C57BL/6,BRE,0,18.92,0
6C,BALB/c,Control,0,21.8,0
6D,BALB/c,LE,0,19.08,0
6E,BALB/c,EG,0,19.88,0
6F,BALB/c,OR,0,20.28,0
6G,BALB/c,BRE,0,18.76,0
7C,C57BL/6,Control,0,18.04,0
7D,C57BL/6,LE,0,18.7,0
7E,C57BL/6,EG,0,18.72,0
7F,C57BL/6,OR,0,18.92,0
7G,C57BL/6,BRE,0,17.64,0
8C,BALB/c,Control,0,20.24,0
8D,BALB/c,LE,0,19.86,0
8E,BALB/c,EG,0,19.36,0
8F,BALB/c,OR,0,18.08,0
8G,BALB/c,BRE,0,19.58,0
9C,C57BL/6,Control,0,18.58,0
9D,C57BL/6,LE,0,18.56,0
9E,C57BL/6,EG,0,19.9,0
9F,C57BL/6,OR,0,20.6,0
9G,C57BL/6,BRE,0,17.22,0
10C,BALB/c,Control,0,20.92,0
10D,BALB/c,LE,0,21.06,0
10E,BALB/c,EG,0,19.22,0
10F,BALB/c,OR,0,19.5,0
10G,BALB/c,BRE,0,20.16,0
1C,C57BL/6,Control,1,18.7,5.530474041
1D,C57BL/6,LE,1,18.3,3.859250851
1E,C57BL/6,EG,1,17.68,2.552204176
1F,C57BL/6,OR,1,18.14,-0.982532751
1G,C57BL/6,BRE,1,20.26,6.407563025
2C,BALB/c,Control,1,18.96,4.983388704
2D,BALB/c,LE,1,19.06,0.953389831
2E,BALB/c,EG,1,16.94,0
2F,BALB/c,OR,1,19.02,-0.209863589
2G,BALB/c,BRE,1,20.32,1.905717151
3C,C57BL/6,Control,1,18.54,7.916181607
3D,C57BL/6,LE,1,17.56,1.502890173
3E,C57BL/6,EG,1,20.14,3.81443299
