Record no,Number,Length (µm),Area (µm^2),Comments,Shape,Type,Sample,Slide,host,pop
1,1,1085.85,56996.04,0,Polygon,+,10D,1,C57BL/6,LE
2,2,1489.96,81424.19,0,Polygon,+,10D,1,C57BL/6,LE
3,3,1599.59,88085.01,0,Polygon,+,10D,1,C57BL/6,LE
4,4,1087.64,55505.74,0,Polygon,+,10D,1,C57BL/6,LE
5,5,1200.09,59469,0,Polygon,+,10D,1,C57BL/6,LE
6,6,1074.08,55907.11,0,Polygon,+,10D,1,C57BL/6,LE
7,7,1776.45,125710.45,0,Polygon,+,10D,1,C57BL/6,LE
8,8,1671,117929.32,0,Polygon,+,10D,1,C57BL/6,LE
9,9,1380.28,74574.79,0,Polygon,+,10D,1,C57BL/6,LE
10,10,1759.19,106877.15,0,Polygon,+,10D,1,C57BL/6,LE
11,11,2347.21,168057.24,0,Polygon,+,10D,1,C57BL/6,LE
12,12,1077.64,53473.02,0,Polygon,+,10D,1,C57BL/6,LE
13,13,1994.37,124877.59,0,Polygon,+,10D,1,C57BL/6,LE
14,14,2314.57,158743.54,0,Polygon,+,10D,1,C57BL/6,LE
15,15,1446.57,91639.84,0,Polygon,+,10D,1,C57BL/6,LE
16,16,1142.65,55080.09,0,Polygon,+,10D,1,C57BL/6,LE
17,17,2190.23,120192.26,0,Polygon,+,10D,1,C57BL/6,LE
18,18,2188.38,126201.52,0,Polygon,+,10D,1,C57BL/6,LE
19,19,1821.82,122818.44,0,Polygon,+,10D,1,C57BL/6,LE
20,20,2039.89,162755.17,0,Polygon,+,10D,1,C57BL/6,LE
21,1,1576.27,89176.02,0,Polygon,+,10D,3,C57BL/6,LE
22,2,2189.35,160981.38,0,Polygon,+,10D,3,C57BL/6,LE
23,3,1809.65,142023.5,0,Polygon,+,10D,3,C57BL/6,LE
24,4,2178.67,168487.81,0,Polygon,+,10D,3,C57BL/6,LE
25,5,1121.11,58250.5,0,Polygon,+,10D,3,C57BL/6,LE
26,6,1522.53,91079.7,0,Polygon,+,10D,3,C57BL/6,LE
27,7,1418.15,92515.79,0,Polygon,+,10D,3,C57BL/6,LE
28,8,1820.97,129307.28,0,Polygon,+,10D,3,C57BL/6,LE
29,9,1149.49,63050.42,0,Polygon,+,10D,3,C57BL/6,LE
30,10,1357.92,86762.82,0,Polygon,+,10D,3,C57BL/6,LE
31,11,990.14,49487.12,0,Polygon,+,10D,3,C57BL/6,LE
32,12,1572.03,106756.89,0,Polygon,+,10D,3,C57BL/6,LE
33,13,1440.41,96926.74,0,Polygon,+,10D,3,C57BL/6,LE
34,14,1824.19,120240.92,0,Polygon,+,10D,3,C57BL/6,LE
